Province,Province_Code,City,City_Code,Region,Region_Code,OrderNum
浙江,33,杭州市,190,江干区,2025,11197
浙江,33,湖州市,194,安吉县,2077,100
浙江,33,杭州市,190,萧山区,2029,13444
浙江,33,杭州市,190,滨江区,2028,5016
浙江,33,杭州市,190,余杭区,2030,13606
浙江,33,杭州市,190,上城区,2023,2610
浙江,33,杭州市,190,下城区,2024,2802
浙江,33,杭州市,190,桐庐县,2031,1370
浙江,33,杭州市,190,西湖区,2027,6714
浙江,33,杭州市,190,淳安县,2032,551
浙江,33,杭州市,190,富阳市,2034,3148
浙江,33,绍兴市,195,越城区,2080,151
浙江,33,杭州市,190,临安市,2035,1619
浙江,33,杭州市,190,拱墅区,2026,3455
浙江,33,衢州市,197,龙游县,2103,28
浙江,33,台州市,199,三门县,2117,14
浙江,33,宁波市,191,江北区,2040,38
浙江,33,台州市,199,临海市,4538,53
浙江,33,宁波市,191,鄞州区,2043,97
浙江,33,宁波市,191,海曙区,2038,66
浙江,33,丽水市,481,青田县,4536,12
浙江,33,绍兴市,195,绍兴县,2081,241
浙江,33,宁波市,191,镇海区,2042,32
浙江,33,湖州市,194,德清县,2075,198
浙江,33,杭州市,190,建德市,2033,807
浙江,33,温州市,192,鹿城区,2051,53
浙江,33,金华市,196,婺城区,2088,76
浙江,33,温州市,192,瓯海区,2053,49
浙江,33,温州市,192,瑞安市,2060,51
浙江,33,嘉兴市,193,海宁市,2068,636
浙江,33,舟山市,198,定海区,2107,27
浙江,33,绍兴市,195,诸暨市,2083,235
浙江,33,金华市,196,义乌市,2094,299
浙江,33,湖州市,194,南浔区,2074,42
浙江,33,嘉兴市,193,桐乡市,2070,159
浙江,33,温州市,192,龙湾区,2052,44
浙江,33,金华市,196,东阳市,2095,81
浙江,33,宁波市,191,慈溪市,2047,148
浙江,33,金华市,196,兰溪市,2093,23
浙江,33,湖州市,194,吴兴区,2073,147
浙江,33,宁波市,191,余姚市,2046,74
浙江,33,金华市,196,永康市,2096,72
浙江,33,台州市,199,黄岩区,2114,31
浙江,33,嘉兴市,193,嘉善县,2066,56
浙江,33,温州市,192,乐清市,2061,61
浙江,33,台州市,199,玉环县,2116,30
浙江,33,嘉兴市,193,秀洲区,2065,55
浙江,33,台州市,199,路桥区,2115,25
浙江,33,温州市,192,泰顺县,2059,5
浙江,33,嘉兴市,193,南湖区,4539,84
浙江,33,台州市,199,仙居县,2119,17
浙江,33,台州市,199,温岭市,2120,81
浙江,33,湖州市,194,长兴县,2076,81
浙江,33,温州市,192,永嘉县,2055,25
浙江,33,绍兴市,195,嵊州市,2085,52
浙江,33,嘉兴市,193,平湖市,2069,56
浙江,33,舟山市,198,普陀区,2108,17
浙江,33,丽水市,481,缙云县,4533,20
浙江,33,衢州市,197,柯城区,2099,44
浙江,33,丽水市,481,莲都区,4534,31
浙江,33,宁波市,191,北仑区,2041,45
浙江,33,宁波市,191,象山县,2044,28
浙江,33,绍兴市,195,上虞市,2084,86
浙江,33,温州市,192,苍南县,2057,37
浙江,33,宁波市,191,宁海县,2045,36
浙江,33,嘉兴市,193,海盐县,2067,25
浙江,33,宁波市,191,奉化市,2048,21
浙江,33,绍兴市,195,新昌县,2082,28
浙江,33,衢州市,197,衢江区,2100,14
浙江,33,台州市,199,椒江区,2113,49
浙江,33,金华市,196,浦江县,2091,50
浙江,33,衢州市,197,常山县,2101,15
浙江,33,丽水市,481,云和县,4529,5
浙江,33,衢州市,197,江山市,2104,22
浙江,33,台州市,199,天台县,2118,20
浙江,33,丽水市,481,遂昌县,4535,14
浙江,33,温州市,192,平阳县,2056,19
浙江,33,衢州市,197,开化县,2102,20
浙江,33,金华市,196,武义县,2090,25
浙江,33,舟山市,198,岱山县,2109,17
浙江,33,宁波市,191,江东区,2039,7
浙江,33,金华市,196,金东区,2089,27
浙江,33,金华市,196,磐安县,2092,5
浙江,33,温州市,192,文成县,2058,7
浙江,33,丽水市,481,龙泉市,4537,9
浙江,33,杭州市,190,-1,-1,690
浙江,33,丽水市,481,庆元县,4530,5
浙江,33,丽水市,481,松阳县,4532,5
浙江,33,丽水市,481,景宁畲族自治县,4531,2
浙江,33,舟山市,198,嵊泗县,2110,2
浙江,33,杭州市,190,海宁市,4541,2
浙江,33,温州市,192,洞头县,2054,2
